model_name,feature_set,candidate_id,selected,validation_log_loss,validation_macro_f1,validation_accuracy,best_iteration,objective,num_class,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,eval_metric,early_stopping_rounds,random_state
model_a,baseline,starting,False,0.9353535507688452,0.4235676604097656,0.5789473684210527,200,multi:softprob,3,500,0.03,3,3,0.8,0.8,2.0,mlogloss,40,42
model_a,baseline,shallow_slow,False,0.9346895035427254,0.4354743447766703,0.5947368421052631,424,multi:softprob,3,500,0.02,2,3,0.9,0.9,2.0,mlogloss,40,42
model_a,baseline,shallow_standard,False,0.9355940824819664,0.4354743447766703,0.5947368421052631,238,multi:softprob,3,500,0.03,2,3,0.9,0.9,2.0,mlogloss,40,42
model_a,baseline,depth_three_grid,False,0.9352047701132468,0.4338870431893687,0.5921052631578947,173,multi:softprob,3,500,0.03,3,3,0.9,0.9,2.0,mlogloss,40,42
model_a,baseline,faster_regularized,True,0.9334637503536388,0.4273316265700528,0.5842105263157895,121,multi:softprob,3,500,0.05,3,3,0.75,0.75,2.0,mlogloss,40,42
model_a,baseline,child_regularized,False,0.9348777572005668,0.4338870431893687,0.5921052631578947,173,multi:softprob,3,500,0.03,3,5,0.9,0.75,5.0,mlogloss,40,42
model_a,baseline,deep_slow_regularized,False,0.9367543999709024,0.43105306263201,0.5868421052631579,286,multi:softprob,3,500,0.02,4,5,0.75,0.9,5.0,mlogloss,40,42
model_a_matched,baseline_matched,starting,False,0.932207288019176,0.4386160714285714,0.5973684210526315,174,multi:softprob,3,500,0.03,3,3,0.8,0.8,2.0,mlogloss,40,42
model_a_matched,baseline_matched,shallow_slow,False,0.9318967309410804,0.4315253003276301,0.5868421052631579,274,multi:softprob,3,500,0.02,2,3,0.9,0.9,2.0,mlogloss,40,42
model_a_matched,baseline_matched,shallow_standard,True,0.930105699773552,0.4269531900716308,0.5789473684210527,240,multi:softprob,3,500,0.03,2,3,0.9,0.9,2.0,mlogloss,40,42
model_a_matched,baseline_matched,depth_three_grid,False,0.9368377950745548,0.4355145659493485,0.5921052631578947,114,multi:softprob,3,500,0.03,3,3,0.9,0.9,2.0,mlogloss,40,42
model_a_matched,baseline_matched,faster_regularized,False,0.9364409723415262,0.4371079790311289,0.5868421052631579,96,multi:softprob,3,500,0.05,3,3,0.75,0.75,2.0,mlogloss,40,42
model_a_matched,baseline_matched,child_regularized,False,0.9346196087060012,0.4343999703711934,0.5842105263157895,185,multi:softprob,3,500,0.03,3,5,0.9,0.75,5.0,mlogloss,40,42
model_a_matched,baseline_matched,deep_slow_regularized,False,0.9353684428282104,0.448444643212085,0.5921052631578947,229,multi:softprob,3,500,0.02,4,5,0.75,0.9,5.0,mlogloss,40,42
model_b,possession,starting,False,0.9356275054201111,0.46951757432552593,0.5842105263157895,164,multi:softprob,3,500,0.03,3,3,0.8,0.8,2.0,mlogloss,40,42
model_b,possession,shallow_slow,False,0.930544139183109,0.46766246287940144,0.5763157894736842,397,multi:softprob,3,500,0.02,2,3,0.9,0.9,2.0,mlogloss,40,42
model_b,possession,shallow_standard,True,0.9287486290975155,0.47005478581538435,0.5789473684210527,267,multi:softprob,3,500,0.03,2,3,0.9,0.9,2.0,mlogloss,40,42
model_b,possession,depth_three_grid,False,0.9332999300272355,0.48653582615654706,0.5815789473684211,216,multi:softprob,3,500,0.03,3,3,0.9,0.9,2.0,mlogloss,40,42
model_b,possession,faster_regularized,False,0.9355341293680248,0.4777008160353997,0.5894736842105263,99,multi:softprob,3,500,0.05,3,3,0.75,0.75,2.0,mlogloss,40,42
model_b,possession,child_regularized,False,0.9310702390633027,0.48097356126809143,0.5815789473684211,202,multi:softprob,3,500,0.03,3,5,0.9,0.75,5.0,mlogloss,40,42
model_b,possession,deep_slow_regularized,False,0.9302877898404371,0.45531897744932764,0.5736842105263158,248,multi:softprob,3,500,0.02,4,5,0.75,0.9,5.0,mlogloss,40,42
